(-10, -9, 65), [15, 16, 15], 3.25.at_gy_abqi 
(-10, -8, 55), [15, 17, 5], 3.25.as_ge_abko 
(-10, -7, 45), [15, 18, 20], 3.25.ar_fk_abeu 
(-10, -6, 35), [15, 19, 10], 3.25.aq_eq_aza 
(-10, -4, 10), [15, 21, 10], 3.25.ao_cx_alo 
(-10, -4, 15), [15, 21, 15], 3.25.ao_dc_anm 
(-10, -4, 30), [15, 21, 5], 3.25.ao_dr_atg 
(-9, -5, 25), [16, 20, 0], 3.25.ao_dr_ash 
(-10, -4, 40), [15, 21, 15], 3.25.ao_eb_axc 
(-5, -9, 45), [20, 16, 20], 3.25.ao_el_azz 
(-5, -9, 60), [20, 16, 10], 3.25.ao_fa_abcw 
(-10, -3, 5), [15, 22, 5], 3.25.an_ci_ahs 
(-10, -3, 30), [15, 22, 5], 3.25.an_dh_ari 
(-5, -8, 40), [20, 17, 15], 3.25.an_eb_axc 
(-10, -2, -5), [15, 23, 20], 3.25.am_bo_aby 
(-10, -2, 10), [15, 23, 10], 3.25.am_cd_ahs 
(-10, -2, 20), [15, 23, 20], 3.25.am_cn_alo 
(-7, -5, 25), [18, 20, 0], 3.25.am_dh_aqj 
(-10, -2, 45), [15, 23, 20], 3.25.am_dm_ave 
(-5, -7, 30), [20, 18, 5], 3.25.am_dm_atg 
(-5, -7, 35), [20, 18, 10], 3.25.am_dr_auf 
(-5, -7, 40), [20, 18, 15], 3.25.am_dw_ave 
(-10, -1, -15), [15, 24, 10], 3.25.al_u_dw 
(-10, -1, 10), [15, 24, 10], 3.25.al_bt_afu 
(-10, -1, 35), [15, 24, 10], 3.25.al_cs_apk 
(-5, -6, 20), [20, 19, 20], 3.25.al_cx_apk 
(-6, -5, 25), [19, 20, 0], 3.25.al_dc_apk 
(-5, -6, 30), [20, 19, 5], 3.25.al_dh_ari 
(-10, 1, -35), [15, 1, 15], 3.25.aj_au_pk 
(-10, 1, -10), [15, 1, 15], 3.25.aj_f_fu 
(-10, 1, 15), [15, 1, 15], 3.25.aj_be_adw 
(-10, 1, 40), [15, 1, 15], 3.25.aj_cd_anm 
(-5, -4, 20), [20, 21, 20], 3.25.aj_cn_alo 
(-4, -5, 25), [21, 20, 0], 3.25.aj_cs_anm 
(-9, 0, 50), [16, 0, 0], 3.25.aj_cx_ari 
(-10, 2, -20), [15, 2, 5], 3.25.ai_ap_lo 
(-10, 2, 5), [15, 2, 5], 3.25.ai_k_by 
(-10, 2, 10), [15, 2, 10], 3.25.ai_p_a 
(-10, 2, 20), [15, 2, 20], 3.25.ai_z_adw 
(-8, 0, 0), [17, 0, 0], 3.25.ai_z_a 
(-5, -3, -10), [20, 22, 15], 3.25.ai_be_adw 
(-10, 2, 30), [15, 2, 5], 3.25.ai_bj_ahs 
(5, -13, 85), [5, 12, 10], 3.25.ai_bt_air 
(-5, -3, 15), [20, 22, 15], 3.25.ai_cd_air 
(-5, -3, 20), [20, 22, 20], 3.25.ai_ci_ajq 
(-3, -5, 25), [22, 20, 0], 3.25.ai_cn_amn 
(-8, 0, 50), [17, 0, 0], 3.25.ai_cx_apk 
(-10, 3, -5), [15, 3, 20], 3.25.ah_ak_hs 
(-10, 3, 20), [15, 3, 20], 3.25.ah_p_aby 
